weight,name,listeners
-0.03333914387668408,Future,"['Jackson_Joe', 'PbzSmith', 'haimond', 'OsvaldoMusicas']"
-0.03311539638477555,Charli XCX,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.03248349016186062,C418,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.03236149812585827,Mac DeMarco,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.03174608343640184,Aerosmith,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.03114608088439421,Joy Division,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1']"
-0.0309649148238752,Sade,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.03086447738916391,Adoniran Barbosa,"['PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.030540550762465174,Billy Idol,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-0.030115459156579566,Britney Spears,"['Jackson_Joe', 'PbzSmith', 'haimond', 'OsvaldoMusicas']"
-0.02999055474080344,Led Zeppelin,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1']"
-0.029925102087403357,Andreas Rönnberg,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs']"
-0.029557019135408955,Seu Jorge,"['PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.0290159822930666,Creedence Clearwater Revival,"['PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-0.028956007551047568,Billie Eilish,"['PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.02894102977557583,Doja Cat,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.028795462868296727,Denzel Curry,"['Jackson_Joe', 'OsvaldoMusicas']"
