weight,name,listeners
-245280,杏里,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-225225,Doja Cat,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'OsvaldoMusicas']"
-219108,Jupiter Apple,"['suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-217140,PinkPantheress,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-214200,Os Originais Do Samba,"['Jackson_Joe', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-209880,Stan Getz,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-201000,YONLAPA,"['Jackson_Joe', 'Marcelosgc1', 'OsvaldoMusicas']"
-200466,Britney Spears,"['Jackson_Joe', 'PbzSmith', 'haimond', 'OsvaldoMusicas']"
-196560,The Cranberries,"['PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-196539,Molchat Doma,"['Jackson_Joe', 'suicidxbladxs', 'Marcelosgc1']"
-191580,The Cure,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-189588,Journey,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1']"
-188805,Pantera,"['PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-185416,Christopher Larkin,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'OsvaldoMusicas']"
-171600,Azumi Takahashi,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-146400,Toquinho,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-141040,宇宙ネコ子,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-138720,大貫妙子,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1']"
-136320,Crystal Castles,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-131472,Duke Ellington,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'OsvaldoMusicas']"
-126480,TWICE,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-113526,Coldplay,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs']"
-113424,The Smashing Pumpkins,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-104550,Whirr,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-103680,Ice Cube,"['Jackson_Joe', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-100240,Matuê,"['haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-98208,Joy Division,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1']"
-98208,Djavan,"['Jackson_Joe', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-97104,Nujabes,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-95760,Akira Yamaoka,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-95040,David Bowie,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-91260,Luiz Gonzaga,"['Jackson_Joe', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-87920,Panchiko,"['suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-87120,Green Day,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-83636,Home,"['Jackson_Joe', 'suicidxbladxs', 'Marcelosgc1']"
-83490,Don Toliver,"['Jackson_Joe', 'haimond', 'suicidxbladxs']"
-76230,椎名林檎,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-73260,Tame Impala,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-71820,The Police,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-71077,Tauz,"['PbzSmith', 'suicidxbladxs']"
-69200,Bleach,"['Jackson_Joe', 'haimond', 'Marcelosgc1', 'OsvaldoMusicas']"
-68640,Evanescence,"['PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-68620,BK,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-64584,Raul Seixas,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1']"
-57888,Justin Bieber,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'OsvaldoMusicas']"
-56610,pumapjl,"['haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-56280,Title Fight,"['Jackson_Joe', 'suicidxbladxs', 'Marcelosgc1']"
-54880,Alphaville,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-49896,Seu Pereira e Coletivo 401,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-49623,Creedence Clearwater Revival,"['PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-45630,Alberto Baldan Bembo,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-43680,Black Eyed Peas,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-43320,Kendrick Lamar,"['Jackson_Joe', 'haimond', 'OsvaldoMusicas']"
-40898,Chase Atlantic,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-40248,Engenheiros Do Hawaii,"['PbzSmith', 'suicidxbladxs', 'OsvaldoMusicas']"
-39856,Laurindo Almeida,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-38808,Eve,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-38220,Yeat,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-36864,The Clash,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-34944,Julie,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-34776,ミドリ,"['haimond', 'Marcelosgc1', 'OsvaldoMusicas']"
-32775,Elton John,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-31500,Joji,"['PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-31275,Katy Perry,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-31122,John Coltrane Quartet,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-30576,Barão Vermelho,"['PbzSmith', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-29869,Denzel Curry,"['Jackson_Joe', 'OsvaldoMusicas']"
-29848,Creepy Nuts,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-27633,Frédéric Chopin,"['PbzSmith', 'suicidxbladxs']"
-27537,wave to earth,"['haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-27030,A$AP Rocky,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'OsvaldoMusicas']"
-26624,Illit,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-26352,The Smashing Pumpkins,"['haimond', 'suicidxbladxs', 'Marcelosgc1']"
-25740,Fagner,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-21465,Cannibal Corpse,"['haimond', 'suicidxbladxs', 'Marcelosgc1']"
-20790,America,"['Jackson_Joe', 'PbzSmith', 'Marcelosgc1']"
-20700,Gojira,"['suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-20352,Korn,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-20300,Rogério Skylab,"['suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-19980,Red Velvet,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'OsvaldoMusicas']"
-19110,Swans,"['Jackson_Joe', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-19092,Cocteau Twins,"['PbzSmith', 'suicidxbladxs', 'Marcelosgc1']"
-18792,a-ha,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1']"
-18720,King Crimson,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-18490,Ana Frango Elétrico,"['haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-17664,Nas,"['Jackson_Joe', 'haimond', 'OsvaldoMusicas']"
-17430,The Neighbourhood,"['PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-17280,Bee Gees,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-16848,BLACKPINK,"['Jackson_Joe', 'PbzSmith', 'OsvaldoMusicas']"
-16320,Bruno Mars,"['PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-15296,Beyoncé,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-15147,50 Cent,"['Jackson_Joe', 'PbzSmith', 'haimond', 'OsvaldoMusicas']"
-15120,Titãs,"['PbzSmith', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-14880,Laufey,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-14616,Louis Armstrong,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1']"
-13552,The Weeknd,"['Jackson_Joe', 'suicidxbladxs', 'OsvaldoMusicas']"
-13248,Adventure Time,"['PbzSmith', 'haimond', 'suicidxbladxs']"
-13104,Steve Lacy,"['haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-13008,$uicideboy$,"['Jackson_Joe', 'suicidxbladxs', 'OsvaldoMusicas']"
-12992,FBC,"['Jackson_Joe', 'haimond', 'OsvaldoMusicas']"
-12696,Belchior,"['suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-12480,Haddaway,"['Jackson_Joe', 'PbzSmith', 'haimond', 'Marcelosgc1']"
-11718,My Dead Girlfriend,"['haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-11475,Van Halen,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1']"
-11310,Deep Purple,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1']"
-10980,Blanket,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-10920,Bernard Herrmann,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs']"
-10660,R.E.M.,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-10626,Clairo,"['PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-10584,Foreigner,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1']"
-9900,Secos & Molhados,"['PbzSmith', 'suicidxbladxs', 'Marcelosgc1']"
-9800,Audioslave,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-9696,Capcom Sound Team,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'OsvaldoMusicas']"
-9594,Anri,"['Jackson_Joe', 'haimond', 'Marcelosgc1', 'OsvaldoMusicas']"
-9540,Lelio Luttazzi,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-9120,7 Minutoz,"['PbzSmith', 'haimond', 'suicidxbladxs']"
